variable,issues,transformations,validation_rules,expected_outcome
CODIGO,"Formato invalido, faltantes y repetidos.","Conservar como texto, limpiar espacios y validar patron ##-##-####-##.",Debe cumplir el patron definido y no repetirse entre filas activas.,Identificador estable y apto para cruces.
DISTRITO,Valores truncados o vacios.,Normalizar texto y validar contra catalogo local de distritos.,Sin espacios sobrantes ni codigos incompletos.,Distrito consistente y comparable.
DEPARTAMENTO,Variantes de escritura y validacion pendiente contra catalogo externo.,Pasar a mayusculas y comparar con catalogo local de referencia.,Debe pertenecer al conjunto de departamentos detectado en los archivos fuente.,Departamentos homologados.
MUNICIPIO,Posibles variantes ortograficas y catalogo oficial no disponible en el workspace.,"Normalizar mayusculas, espacios y tildes; validar con catalogo oficial externo.",Sin categorias nuevas tras la homologacion.,Municipios listos para validacion final.
ESTABLECIMIENTO,"Comillas, tildes, espacios multiples y variantes ortograficas.",Limpiar caracteres invisibles y homogeneizar formato textual sin renombrar por criterio propio.,Conservar el nombre institucional correcto.,Nombre del centro educativo estable.
DIRECCION,"Abreviaturas, puntuacion irregular y vacios.","Normalizar espacios, puntuacion y abreviaturas evidentes.",No debe quedar vacia ni con placeholders.,Direccion legible y uniforme.
TELEFONO,"Faltantes, separadores inconsistentes, letras y longitudes raras.",Conservar como texto y limpiar separadores; aislar telefonos multiples.,Solo digitos o valores explicitamente vacios.,Contacto telefonico utilizable.
SUPERVISOR,"Acentos, mayusculas y espacios multiples.",Normalizar texto y eliminar placeholders.,Nombre de persona sin valores genericos.,Supervisor consistente.
DIRECTOR,Muchos placeholders y faltantes.,"Normalizar texto, detectar placeholders y dejar vacio solo cuando no exista dato real.","No usar --, --- o SIN DATO como nombres validos.",Director depurado.
NIVEL,Dominio reducido pero debe confirmarse.,Homologar categorias al catalogo esperado.,Solo valores permitidos por la fuente.,Nivel coherente.
SECTOR,Categorias potencialmente diversas o variantes de escritura.,Estandarizar nombres equivalentes.,Valores dentro del dominio permitido.,Sector uniforme.
AREA,Debe limitarse a urbano/rural.,Normalizar mayusculas y tildes.,Solo URBANA o RURAL.,Area validada.
STATUS,Estados textuales con posible variacion de escritura.,Homologar a lista controlada de estados.,No introducir estados nuevos sin soporte de fuente.,Estado institucional consistente.
MODALIDAD,Categorias compactas pero deben revisarse.,Normalizar texto y revisar dominios.,Conjunto controlado sin variantes innecesarias.,Modalidad depurada.
JORNADA,Categorias de horario con posibles variantes.,Estandarizar etiquetas y revisar valores raros.,Solo etiquetas oficiales de jornada.,Jornada uniforme.
PLAN,Valores equivalentes escritos de forma distinta o incompleta.,Normalizar formato textual y consolidar equivalencias.,Solo planes admitidos por el dataset.,Plan academico claro.
DEPARTAMENTAL,Debe coincidir con el departamento de referencia o el catalogo oficial.,Comparar contra catalogo local y validar equivalencias.,Sin discrepancias con el valor departamental esperado.,Campo territorial consistente.
