variable,issues,transformations,validation_rules,expected_outcome,risks
CODIGO,"Ninguno detectado: el 100% cumple el patrón ##-##-####-##, sin repetidos ni faltantes.","Conservar como texto, normalizar espacios y validar el patrón ##-##-####-##.",Debe cumplir el patrón definido y ser único entre filas.,Identificador estable y apto para cruces.,Riesgo bajo: al conservarlo como texto no se pierden guiones ni ceros a la izquierda; convertirlo a número sí lo dañaría.
DISTRITO,"532 vacíos y 70 truncados (ej. ""01-"" sin el número de distrito); conviven dos formatos válidos (##-### y ##-##-####).","Normalizar espacios, documentar ambos formatos y marcar DISTRITO_VALIDO=False en vacíos/truncados; los vacíos pasan a NA.","Todo valor no nulo cumple uno de los dos formatos; los inválidos quedan señalados, no inventados.","Distrito consistente, con los casos incompletos rastreables.",Marcar como NA un truncado descarta el prefijo departamental que sí traía; se mitiga guardando DISTRITO_FORMATO y no completando el número faltante por adivinanza.
DEPARTAMENTO,"6 departamentos sin tilde (PETEN, QUICHE, SACATEPEQUEZ, SOLOLA, SUCHITEPEQUEZ, TOTONICAPAN).",Pasar a mayúsculas y restaurar la tilde oficial con un catálogo cerrado de 22 departamentos + CIUDAD CAPITAL.,Debe pertenecer al catálogo oficial de departamentos.,Departamentos homologados a la ortografía correcta.,"Riesgo mínimo: el catálogo es cerrado y oficial; DEPARTAMENTAL (misma fuente) ya usa la tilde, así que se unifica hacia la forma correcta, no hacia la más frecuente."
MUNICIPIO,Variantes de tilde/formato; catálogo oficial no disponible en el diagnóstico (se validó después en la limpieza).,Normalizar mayúsculas/espacios/tildes contra el catálogo INE/Wikipedia por departamento; CIUDAD CAPITAL usa ZONA 1..25.,"Cada municipio hace match con el catálogo de su departamento; los que no, quedan con MUNICIPIO_VALIDO=False.",Municipios homologados y los dudosos señalados para revisión.,La homologación puede marcar como inválido un municipio real mal escrito en la fuente; se mitiga NO corrigiendo por adivinanza y dejando 3 casos documentados para revisión manual.
ESTABLECIMIENTO,"Comillas envolviendo el nombre completo, espacios/caracteres invisibles y variantes que solo difieren en tildes.","Limpiar caracteres invisibles, quitar comillas que envuelven todo el campo y unificar variantes acento-insensibles, sin renombrar por criterio propio.",Sin comillas envolventes ni placeholders; se conserva el nombre institucional.,Nombre del centro educativo estable.,"Unificar por tildes o quitar comillas podría fusionar dos centros distintos; se limita a comillas que envuelven TODO el campo y a variantes que solo difieren en acentos, sin tocar letras (los typos reales se dejan al listado de duplicados parciales)."
DIRECCION,"Placeholders (""-"", ""---"", ""S/D"") mezclados como texto, puntuación suelta en los bordes y espacios irregulares.","Normalizar espacios/caracteres invisibles, quitar puntuación suelta de los bordes y convertir placeholders a NA.",Sin placeholders como texto ni espacios al borde.,Dirección legible y uniforme.,"Quitar puntuación podría borrar información real; se restringe a los bordes y a placeholders inequívocos, no al contenido interno."
TELEFONO,"946 vacíos; varios números por celda con separadores distintos ("","", ""/"", ""Y"", guion); guion ambiguo; presencia de FAX/extensión/rangos.","Separar los números en lista, estandarizar separadores y reconstruir sufijos abreviados (ej. 22202870-73); agregar TELEFONO_CANTIDAD/_VALIDO/_OBSERVACION y conservar TELEFONO_ORIGINAL.",Cada número es de 7-8 dígitos; los casos raros quedan anotados en TELEFONO_OBSERVACION.,Contacto telefónico utilizable y auditable.,La reconstrucción de sufijos asume que comparten el prefijo del número anterior y podría generar un número equivocado; se mitiga conservando el valor crudo en TELEFONO_ORIGINAL.
SUPERVISOR,535 placeholders/vacíos y variantes de un mismo nombre que solo difieren en tildes.,"Normalizar texto, corregir acentos graves, unificar variantes por tilde y convertir placeholders a NA.",Sin placeholders como nombre; nombres equivalentes unificados.,Supervisor consistente.,"Unificar por tildes podría juntar dos personas homónimas; riesgo bajo porque solo agrupa cadenas idénticas salvo acentos, sin tocar letras ni orden de palabras."
DIRECTOR,"Alta proporción de faltantes (14.6%) y muchos placeholders (""--"", ""---"", ""SIN DATO"").",Normalizar texto y convertir vacíos/placeholders a NA explícito; unificar variantes por tilde.,"No se usan ""--"", ""---"" ni ""SIN DATO"" como nombre válido.","Director depurado, con los faltantes contabilizados de forma honesta.","Convertir placeholders a NA sube el % de faltantes reportado; es el efecto deseado (medir el faltante real), no un error."
NIVEL,"Ninguno detectado: dominio único (""DIVERSIFICADO"") ya uniforme.",Normalizar espacios/mayúsculas de forma defensiva.,Solo el valor DIVERSIFICADO.,Nivel coherente.,"Riesgo nulo: no se fusionan categorías, solo se deja la verificación explícita."
SECTOR,Ninguno detectado: categorías ya uniformes en mayúsculas.,Normalizar espacios y mayúsculas.,"Valores dentro del dominio observado (OFICIAL, PRIVADO, MUNICIPAL, COOPERATIVA).",Sector uniforme.,Riesgo nulo: no se renombran ni fusionan categorías.
AREA,"Además de URBANA/RURAL aparece ""SIN ESPECIFICAR"" (valor propio de la fuente, no un error).",Normalizar mayúsculas/espacios; se conserva SIN ESPECIFICAR por ser un dominio real del MINEDUC.,"Solo URBANA, RURAL o SIN ESPECIFICAR.",Área validada.,Forzar todo a URBANA/RURAL borraría un dato legítimo; se documenta SIN ESPECIFICAR en vez de eliminarlo.
STATUS,Ninguno detectado: estados ya uniformes en mayúsculas.,Normalizar espacios y mayúsculas.,Valores dentro del dominio observado de estados del MINEDUC.,Estado institucional consistente.,Riesgo nulo: no se introducen ni fusionan estados sin soporte de la fuente.
MODALIDAD,"Ninguno detectado: solo MONOLINGUE/BILINGUE, ya uniformes.",Normalizar espacios y mayúsculas.,Solo MONOLINGUE o BILINGUE.,Modalidad depurada.,Riesgo nulo: dominio pequeño y ya consistente.
JORNADA,Ninguno detectado: etiquetas de jornada ya uniformes.,Normalizar espacios y mayúsculas.,Solo etiquetas oficiales de jornada.,Jornada uniforme.,Riesgo nulo: no se fusionan etiquetas.
PLAN,"Ninguno detectado: los valores (ej. ""DIARIO(REGULAR)"") ya son uniformes.",Normalizar espacios y mayúsculas.,Solo planes presentes en la fuente.,Plan académico claro.,Riesgo nulo: no se consolidan equivalencias sin evidencia.
DEPARTAMENTAL,"Subdivisiones propias de GUATEMALA (4 zonas) y QUICHÉ (2), que parecen fuera de dominio pero son reales.",Normalizar mayúsculas y tildes; validar la congruencia jerárquica con DEPARTAMENTO.,Las zonas de Guatemala/Quiché solo aparecen en sus departamentos correspondientes.,Campo territorial consistente.,Tratar las subdivisiones como error las eliminaría indebidamente; se validan como relación 1-a-muchos legítima con DEPARTAMENTO.
