Variable,Problema detectado,Transformacion,Registros afectados,Justificacion
CODIGO,Ninguno: el 100% de los registros ya cumple ##-##-####-##.,Se conserva como texto y se agrega verificacion de patron.,0,"Es un identificador, no una cantidad; convertirlo a numero perderia los guiones y ceros a la izquierda."
DISTRITO,532 vacios y 70 truncados (ej. '01-' sin numero de distrito).,Se documentan dos esquemas validos (##-### y ##-##-####) y se marca DISTRITO_VALIDO=False en vacios/truncados.,602,No se puede inventar el numero de distrito faltante; se deja explicito para seguimiento con la fuente.
DEPARTAMENTO,"6 departamentos sin tilde (PETEN, QUICHE, SACATEPEQUEZ, SOLOLA, SUCHITEPEQUEZ, TOTONICAPAN).",Se restaura la tilde oficial usando un catalogo de 22 departamentos + el caso especial CIUDAD CAPITAL.,2025,"DEPARTAMENTAL (misma fuente) ya usa tilde para los mismos lugares; se unifica hacia la ortografia correcta, no hacia la mas frecuente."
MUNICIPIO,Formato/tilde inconsistente en 2909 registros; 49 fuera del catalogo oficial.,"Se normaliza contra el catalogo de municipios por departamento (fuente: Wikipedia/INE, verificado contra los datos). CIUDAD CAPITAL usa un dominio propio (ZONA 1..25).",2909,"El catalogo se verifico contra los datos reales: los 'faltantes' son municipios pequenos sin ningun establecimiento de diversificado, no errores de escritura."
ESTABLECIMIENTO,70 registros con comillas envolviendo el nombre completo; 446 grupos con variantes que solo difieren en tildes (incluye typos de acento grave).,"Se quitan comillas que envuelven TODO el campo (se conservan comillas internas, ej. COLEGIO ""LA PATRIA""); se unifican variantes acento-insensibles hacia la forma con tilde correcta.",1564,No se cambia ninguna letra del nombre ni se corrigen typos reales: eso se deja para revision manual en el listado de duplicados parciales.
DIRECCION,"Vacios y placeholders ('-', '--', '.', 'S/D', 'SIN REGISTRO', etc.) mezclados como si fueran texto valido; 111 variantes que solo difieren en tildes (ej. nombres de personas escritos con y sin acento).","Se normalizan espacios/caracteres invisibles/puntuacion suelta, se unifican variantes de tilde hacia la forma acentuada, y se convierten los placeholders a NA explicito.",87,Contar '---' como dato real subestima el porcentaje verdadero de valores faltantes; dos tildes distintas del mismo nombre no son dos personas distintas.
SUPERVISOR,"Vacios y placeholders ('-', '--', '.', 'S/D', 'SIN REGISTRO', etc.) mezclados como si fueran texto valido; 187 variantes que solo difieren en tildes (ej. nombres de personas escritos con y sin acento).","Se normalizan espacios/caracteres invisibles/puntuacion suelta, se unifican variantes de tilde hacia la forma acentuada, y se convierten los placeholders a NA explicito.",535,Contar '---' como dato real subestima el porcentaje verdadero de valores faltantes; dos tildes distintas del mismo nombre no son dos personas distintas.
DIRECTOR,"Vacios y placeholders ('-', '--', '.', 'S/D', 'SIN REGISTRO', etc.) mezclados como si fueran texto valido; 155 variantes que solo difieren en tildes (ej. nombres de personas escritos con y sin acento).","Se normalizan espacios/caracteres invisibles/puntuacion suelta, se unifican variantes de tilde hacia la forma acentuada, y se convierten los placeholders a NA explicito.",2155,Contar '---' como dato real subestima el porcentaje verdadero de valores faltantes; dos tildes distintas del mismo nombre no son dos personas distintas.
TELEFONO,"946 vacios; multiples numeros en una sola celda con separadores distintos (coma, '/', 'Y', guion); guion ambiguo (formato interno vs. separador vs. sufijo abreviado); presencia de FAX/extension/rangos.","Se separan los numeros en una lista (TELEFONO), y se agregan TELEFONO_CANTIDAD, TELEFONO_VALIDO y TELEFONO_OBSERVACION. Los sufijos abreviados que comparten prefijo (ej. '22202870-73') se reconstruyen; TELEFONO_ORIGINAL conserva el valor crudo para auditoria.",1250,Riesgo: la reconstruccion de sufijos asume que comparten el prefijo del numero anterior; queda expuesta en TELEFONO_ORIGINAL por si se debe revisar.
NIVEL,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
SECTOR,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
AREA,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
STATUS,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
MODALIDAD,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
JORNADA,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
PLAN,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
DEPARTAMENTAL,Ninguno detectado en el perfilado (categorias ya uniformes en mayusculas).,Se normalizan espacios/mayusculas de forma defensiva y se documenta el dominio observado.,0,"Se ejecuta igual sobre esta variable para dejar la verificacion explicita en el codigo, no solo asumida."
